epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,1782.64,0.29721,0.32665,0.04822,0.99793,0.99814,0.99491,0.76719,0.25858,0.33637,0.05346,0.00333249,0.00333249,0.00333249
2,3452.52,0.51884,0.40068,0.07635,0.99693,0.99907,0.99471,0.6826,0.34251,0.35574,0.05603,0.00653384,0.00653384,0.00653384
3,5148.87,0.66476,0.43012,0.10469,0.94237,0.98318,0.98761,0.52378,0.50122,0.4252,0.08911,0.00960319,0.00960319,0.00960319
4,6758.8,0.76498,0.43333,0.12692,0.98631,0.99443,0.99428,0.65235,0.34603,0.37296,0.06293,0.009406,0.009406,0.009406
5,8320.04,0.74646,0.43895,0.12489,0.94778,0.88898,0.943,0.5592,0.46198,0.40935,0.07956,0.009208,0.009208,0.009208
6,9896.72,0.70951,0.44277,0.11755,0.96875,0.99479,0.99289,0.62419,0.39804,0.41014,0.0757,0.00901,0.00901,0.00901
7,11488.8,0.69022,0.43853,0.11276,0.97335,0.99325,0.99382,0.76522,0.24955,0.37775,0.04961,0.008812,0.008812,0.008812
8,13028.5,0.7094,0.43681,0.1161,0.99275,0.99793,0.99467,0.79052,0.2224,0.34008,0.04704,0.008614,0.008614,0.008614
9,14591,0.71482,0.43615,0.11715,0.9823,0.9952,0.99409,0.71393,0.29967,0.36817,0.05822,0.008416,0.008416,0.008416
10,16143.9,0.72197,0.44055,0.11797,0.97101,0.98985,0.99306,0.7092,0.31023,0.39727,0.0565,0.008218,0.008218,0.008218
11,17681.6,0.71465,0.44541,0.11713,0.90462,0.88861,0.95886,0.6168,0.38752,0.41359,0.06524,0.00802,0.00802,0.00802
12,19223.9,0.72181,0.44675,0.1183,0.98519,0.99637,0.99414,0.67196,0.34735,0.37096,0.05835,0.007822,0.007822,0.007822
13,20955.2,0.67887,0.43522,0.10952,0.97438,0.99035,0.99295,0.7018,0.31714,0.38173,0.05712,0.007624,0.007624,0.007624
14,22566.7,0.65591,0.4378,0.10454,0.99275,0.99775,0.99437,0.75593,0.24811,0.34136,0.04724,0.007426,0.007426,0.007426
15,24135,0.64261,0.43393,0.10104,0.98995,0.99798,0.99426,0.83655,0.18037,0.31844,0.03907,0.007228,0.007228,0.007228
16,25654.2,0.66652,0.44056,0.105,0.95668,0.99135,0.98794,0.614,0.40885,0.40893,0.0643,0.00703,0.00703,0.00703
17,27178.9,0.62909,0.4341,0.09793,0.99419,0.99751,0.99459,0.74519,0.27637,0.35126,0.04916,0.006832,0.006832,0.006832
18,28708.2,0.61205,0.43124,0.09501,0.99679,0.9984,0.99468,0.84906,0.16934,0.29639,0.03659,0.006634,0.006634,0.006634
19,30227.5,0.64993,0.43391,0.09987,0.99455,0.99876,0.99411,0.82823,0.18935,0.32177,0.03942,0.006436,0.006436,0.006436
20,31752.5,0.59579,0.42815,0.09045,0.99626,0.99882,0.99481,0.85006,0.16451,0.29256,0.03666,0.006238,0.006238,0.006238
21,33276.6,0.57243,0.42594,0.08688,0.99393,0.99899,0.9944,0.84599,0.17138,0.30453,0.03657,0.00604,0.00604,0.00604
22,35184.5,0.57843,0.42572,0.08698,0.99344,0.99905,0.99417,0.71785,0.3067,0.35696,0.05119,0.005842,0.005842,0.005842
23,37063.2,0.59258,0.43557,0.08945,0.99407,0.99935,0.99443,0.86952,0.15133,0.28261,0.03368,0.005644,0.005644,0.005644
24,38604.1,0.60569,0.4242,0.09142,0.9964,0.99923,0.99454,0.65359,0.37445,0.38054,0.06197,0.005446,0.005446,0.005446
25,40143.3,0.62803,0.42023,0.09393,0.99451,0.9987,0.99434,0.79178,0.2283,0.3195,0.04094,0.005248,0.005248,0.005248
26,41660.1,0.56588,0.41899,0.08466,0.99617,0.99953,0.99439,0.81927,0.2046,0.30771,0.04102,0.00505,0.00505,0.00505
27,43175.8,0.52252,0.41272,0.07858,0.99683,0.99964,0.99458,0.85192,0.16697,0.28445,0.03696,0.004852,0.004852,0.004852
28,44754.8,0.54812,0.41688,0.08244,0.99288,0.99982,0.99419,0.67322,0.3482,0.36213,0.05796,0.004654,0.004654,0.004654
29,46277.5,0.54503,0.40539,0.08284,0.99704,0.99842,0.99467,0.80097,0.21902,0.31087,0.041,0.004456,0.004456,0.004456
30,47795.3,0.60507,0.41796,0.09357,0.99712,0.99864,0.99465,0.77799,0.24186,0.31779,0.04417,0.004258,0.004258,0.004258
31,49501.5,0.54572,0.41168,0.08419,0.99602,0.99941,0.99415,0.79834,0.21735,0.30957,0.04396,0.00406,0.00406,0.00406
