epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,1980.23,0.75629,0.51065,0.21279,0.94653,0.92776,0.95423,0.60341,0.4147,0.39596,0.11192,0.00333249,0.00333249,0.00333249
2,4051.01,0.61002,0.42235,0.12617,0.95271,0.94963,0.97348,0.62671,0.38236,0.40285,0.09983,0.00659983,0.00659983,0.00659983
3,7107.46,0.78118,0.42658,0.14893,0.96414,0.95748,0.98019,0.59574,0.41482,0.43183,0.0986,0.00980117,0.00980117,0.00980117
4,9286.46,0.81008,0.45295,0.15858,0.91899,0.91632,0.95419,0.47399,0.54601,0.42684,0.11187,0.009703,0.009703,0.009703
5,11455,0.76167,0.46026,0.14707,0.95704,0.97258,0.98317,0.58855,0.4126,0.41229,0.0935,0.009604,0.009604,0.009604
6,13564.6,0.74871,0.46339,0.14169,0.94921,0.94386,0.97603,0.62103,0.37468,0.42396,0.08876,0.009505,0.009505,0.009505
7,15598.2,0.73119,0.46143,0.13691,0.95995,0.97221,0.98897,0.63226,0.37309,0.39992,0.08362,0.009406,0.009406,0.009406
8,17497.1,0.72351,0.45153,0.13234,0.93895,0.97542,0.98274,0.56884,0.44288,0.41839,0.09138,0.009307,0.009307,0.009307
9,19470.2,0.72336,0.45057,0.13275,0.97628,0.97157,0.99091,0.66478,0.35015,0.41459,0.0827,0.009208,0.009208,0.009208
10,21238.4,0.72395,0.44462,0.12995,0.97377,0.97386,0.99188,0.67415,0.32965,0.39805,0.07328,0.009109,0.009109,0.009109
11,23000.9,0.72566,0.44414,0.12983,0.97249,0.9769,0.99199,0.68323,0.32482,0.39662,0.07187,0.00901,0.00901,0.00901
12,24746.3,0.71917,0.45041,0.12827,0.95376,0.96861,0.98865,0.6613,0.34807,0.40409,0.07432,0.008911,0.008911,0.008911
13,26405.1,0.70148,0.44683,0.12266,0.978,0.98164,0.9929,0.65811,0.35208,0.38617,0.07348,0.008812,0.008812,0.008812
14,28072.6,0.70483,0.44811,0.12395,0.97393,0.98146,0.99135,0.64858,0.36509,0.4086,0.07411,0.008713,0.008713,0.008713
15,29735.2,0.69037,0.45164,0.12102,0.9342,0.89376,0.96309,0.44445,0.58452,0.44498,0.10859,0.008614,0.008614,0.008614
16,31403.5,0.70745,0.44437,0.12288,0.97692,0.97596,0.99285,0.73426,0.27869,0.3986,0.06041,0.008515,0.008515,0.008515
17,33060.6,0.69637,0.44507,0.12135,0.97981,0.98431,0.99312,0.76535,0.24262,0.37866,0.05589,0.008416,0.008416,0.008416
18,34799.8,0.68987,0.43783,0.117,0.98889,0.99105,0.99395,0.74021,0.268,0.36188,0.05893,0.008317,0.008317,0.008317
