epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,194.416,1.70153,1.43298,1.41616,0.96064,0.92775,0.96609,0.63046,1.21573,0.77079,1.20443,0.00332996,0.00332996,0.00332996
2,387.23,1.28731,0.76682,1.16831,0.97558,0.94463,0.98419,0.68819,1.06466,0.56383,1.11988,0.00659733,0.00659733,0.00659733
3,600.705,1.17717,0.63653,1.10257,0.98303,0.95353,0.99042,0.72322,0.98468,0.48634,1.06465,0.0097987,0.0097987,0.0097987
4,807.991,1.07217,0.5528,1.04908,0.98791,0.96758,0.99295,0.72261,1.02031,0.45072,1.0641,0.009703,0.009703,0.009703
5,1005.26,0.96736,0.48861,1.00231,0.98905,0.97199,0.99374,0.7571,0.93907,0.41496,1.02511,0.009604,0.009604,0.009604
6,1221.65,0.90593,0.45295,0.97527,0.99065,0.98105,0.99451,0.80748,0.78173,0.36453,0.97409,0.009505,0.009505,0.009505
7,1434.23,0.85745,0.42891,0.95775,0.9908,0.98022,0.99462,0.81924,0.74294,0.3435,0.94665,0.009406,0.009406,0.009406
8,1647.41,0.8223,0.41077,0.94297,0.99077,0.9856,0.99464,0.85758,0.64224,0.31237,0.91708,0.009307,0.009307,0.009307
9,1859.41,0.7934,0.39461,0.93249,0.99577,0.98881,0.99489,0.86685,0.6105,0.30068,0.90211,0.009208,0.009208,0.009208
10,2072.47,0.76894,0.38397,0.92467,0.99578,0.99225,0.99494,0.86378,0.62449,0.29652,0.90126,0.009109,0.009109,0.009109
11,2284.02,0.75259,0.37456,0.91689,0.99531,0.9931,0.99492,0.88698,0.56244,0.27562,0.88274,0.00901,0.00901,0.00901
12,2498.25,0.73134,0.36508,0.90926,0.99664,0.99331,0.99495,0.88279,0.56404,0.27453,0.88581,0.008911,0.008911,0.008911
13,2722.59,0.71752,0.3578,0.90277,0.99597,0.99427,0.99494,0.8696,0.60415,0.28295,0.88412,0.008812,0.008812,0.008812
14,2936.25,0.70349,0.35076,0.89858,0.99615,0.99539,0.99497,0.89541,0.52262,0.25932,0.86735,0.008713,0.008713,0.008713
15,3150.83,0.69234,0.34582,0.89578,0.99701,0.99479,0.99497,0.89457,0.5292,0.25845,0.86275,0.008614,0.008614,0.008614
16,3358.76,0.67676,0.3388,0.89015,0.997,0.99508,0.99498,0.90612,0.49722,0.2477,0.85749,0.008515,0.008515,0.008515
17,3539.34,0.66807,0.33555,0.88791,0.99663,0.9958,0.99497,0.90139,0.5106,0.24811,0.8536,0.008416,0.008416,0.008416
18,3726.65,0.65872,0.33086,0.88342,0.99799,0.99603,0.99497,0.90595,0.50166,0.24399,0.85292,0.008317,0.008317,0.008317
19,3904.58,0.65112,0.32747,0.88145,0.99796,0.99603,0.99498,0.92047,0.46849,0.23324,0.84351,0.008218,0.008218,0.008218
20,4084.19,0.6412,0.32305,0.87793,0.99765,0.99591,0.99498,0.90588,0.49008,0.23771,0.84738,0.008119,0.008119,0.008119
21,4264.41,0.63581,0.3203,0.87638,0.9984,0.99696,0.99498,0.91724,0.46766,0.22944,0.84123,0.00802,0.00802,0.00802
22,4442.75,0.62896,0.31741,0.87401,0.99854,0.99591,0.99498,0.9141,0.46658,0.22697,0.84116,0.007921,0.007921,0.007921
23,4621.23,0.62163,0.31315,0.87214,0.99813,0.99734,0.99498,0.92409,0.4555,0.22326,0.83747,0.007822,0.007822,0.007822
24,4800.47,0.6144,0.3104,0.87029,0.99893,0.99686,0.99498,0.92738,0.43642,0.21702,0.83413,0.007723,0.007723,0.007723
25,4979.26,0.60796,0.30807,0.86883,0.99917,0.99717,0.99499,0.92265,0.45148,0.218,0.83486,0.007624,0.007624,0.007624
